chr start end eigen domain
chr1 3000000 3039999 0.0162256675397043 closed
chr1 3040000 3079999 0.0135832883058702 closed
chr1 3080000 3119999 0.0115614059459915 closed
chr1 3120000 3159999 0.0102115822292165 closed
chr1 3160000 3199999 0.00922220970572743 closed
chr1 3200000 3239999 0.00872748685532901 closed
chr1 3240000 3279999 0.00854356944861607 closed
chr1 3280000 3319999 0.00838240051963321 closed
chr1 3320000 3359999 0.00777209777680527 closed
chr1 3360000 3399999 0.00734873204590661 closed
chr1 3400000 3439999 0.0073718355815458 closed
chr1 3440000 3479999 0.0077641613315562 closed
chr1 3480000 3519999 0.00804784105655064 closed
chr1 3520000 3559999 0.00895066319039984 closed
chr1 3560000 3599999 0.010100361945608 closed
chr1 3600000 3639999 0.0116557262168844 closed
chr1 3640000 3679999 0.0116644232710434 closed
chr1 3680000 3719999 0.0119773937614567 closed
chr1 3720000 3759999 0.0114932799530219 closed
chr1 3760000 3799999 0.0119376412725961 closed
chr1 3800000 3839999 0.0117917735780033 closed
chr1 3840000 3879999 0.0121429812556499 closed
chr1 3880000 3919999 0.0125115911186184 closed
chr1 3920000 3959999 0.0130403068058116 closed
chr1 3960000 3999999 0.0136187441500846 closed
chr1 4000000 4039999 0.0143062806480158 closed
chr1 4040000 4079999 0.0144493814479527 closed
chr1 4080000 4119999 0.0140954263884739 closed
chr1 4120000 4159999 0.0131205776246354 closed
chr1 4160000 4199999 0.0124260861360019 closed
chr1 4200000 4239999 0.01214805990804 closed
chr1 4240000 4279999 0.0122052316393615 closed
chr1 4280000 4319999 0.0124040696275651 closed
chr1 4320000 4359999 0.0118760381004599 closed
chr1 4360000 4399999 0.0106449414589454 closed
chr1 4400000 4439999 0.0090452087810151 closed
chr1 4440000 4479999 0.00785812694253633 closed
chr1 4480000 4519999 0.00783401959769022 closed
chr1 4520000 4559999 0.00788973328716992 closed
chr1 4560000 4599999 0.00844311601124126 closed
chr1 4600000 4639999 0.00816144479034797 closed
chr1 4640000 4679999 0.00840060626279267 closed
chr1 4680000 4719999 0.00772020431627358 closed
chr1 4720000 4759999 0.00735427235763871 closed
chr1 4760000 4799999 0.0060492059258648 closed
chr1 4800000 4839999 0.00570828254865655 closed
chr1 4840000 4879999 0.00525415936050904 closed
chr1 4880000 4919999 0.00602301428769476 closed
chr1 4920000 4959999 0.00606261633921623 closed
chr1 4960000 4999999 0.00600808971284241 closed
chr1 5000000 5039999 0.00547826363067616 closed
chr1 5040000 5079999 0.00534534956606291 closed
chr1 5080000 5119999 0.00565822465108494 closed
chr1 5120000 5159999 0.00625912278074759 closed
chr1 5160000 5199999 0.00772623261767952 closed
chr1 5200000 5239999 0.0100167726832109 closed
chr1 5240000 5279999 0.0122005124569338 closed
chr1 5280000 5319999 0.0133906222344483 closed
chr1 5320000 5359999 0.0132515127923743 closed
chr1 5360000 5399999 0.0125227036040621 closed
chr1 5400000 5439999 0.0128120814475259 closed
chr1 5440000 5479999 0.0138985242491535 closed
chr1 5480000 5519999 0.0160281971141962 closed
chr1 5520000 5559999 0.0168075652843049 closed
chr1 5560000 5599999 0.0166272914056776 closed
chr1 5600000 5639999 0.0154750839648925 closed
chr1 5640000 5679999 0.0144543148374581 closed
chr1 5680000 5719999 0.0141739850793739 closed
chr1 5720000 5759999 0.0140413841228168 closed
chr1 5760000 5799999 0.0140291067051575 closed
chr1 5800000 5839999 0.0131176190472099 closed
chr1 5840000 5879999 0.0122681421481331 closed
chr1 5880000 5919999 0.0113904879033527 closed
chr1 5920000 5959999 0.0114422158385874 closed
chr1 5960000 5999999 0.0119657607493488 closed
chr1 6000000 6039999 0.0131356648350104 closed
chr1 6040000 6079999 0.0135034585983252 closed
chr1 6080000 6119999 0.011813472462786 closed
chr1 6120000 6159999 0.0085815027327542 closed
chr1 6160000 6199999 0.0057588116571125 closed
chr1 6200000 6239999 0.00575387773118418 closed
chr1 6240000 6279999 0.00770391835684464 closed
chr1 6280000 6319999 0.0101453473372827 closed
chr1 6320000 6359999 0.0108821771158462 closed
chr1 6360000 6399999 0.0109314609523269 closed
chr1 6400000 6439999 0.010206151427443 closed
chr1 6440000 6479999 0.0104252278791175 closed
chr1 6480000 6519999 0.0103723965520766 closed
chr1 6520000 6559999 0.0112108313895322 closed
chr1 6560000 6599999 0.01123287704306 closed
chr1 6600000 6639999 0.0116403269657373 closed
chr1 6640000 6679999 0.0108958911090631 closed
chr1 6680000 6719999 0.0112252638927654 closed
chr1 6720000 6759999 0.0107348345747554 closed
chr1 6760000 6799999 0.0110702883705611 closed
chr1 6800000 6839999 0.0105981325758475 closed
chr1 6840000 6879999 0.0107042765057701 closed
chr1 6880000 6919999 0.0106230682570163 closed
chr1 6920000 6959999 0.0103806322451354 closed
chr1 6960000 6999999 0.00960783160954442 closed
chr1 7000000 7039999 0.00748222148974114 closed
chr1 7040000 7079999 0.00482229183477911 closed
chr1 7080000 7119999 0.00254516319923752 closed
chr1 7120000 7159999 0.00356341095478702 closed
chr1 7160000 7199999 0.00671832406104547 closed
chr1 7200000 7239999 0.0113445718276794 closed
chr1 7240000 7279999 0.0135418274133051 closed
chr1 7280000 7319999 0.013256230059683 closed
chr1 7320000 7359999 0.0113142386517857 closed
chr1 7360000 7399999 0.00940107681216612 closed
chr1 7400000 7439999 0.0100787373623335 closed
chr1 7440000 7479999 0.0119758292175635 closed
chr1 7480000 7519999 0.015056947499482 closed
chr1 7520000 7559999 0.0164139771581503 closed
chr1 7560000 7599999 0.0160238445128196 closed
chr1 7600000 7639999 0.014114429820833 closed
chr1 7640000 7679999 0.0123191745262532 closed
chr1 7680000 7719999 0.011069019006998 closed
chr1 7720000 7759999 0.0115177624174266 closed
chr1 7760000 7799999 0.0121470912169033 closed
chr1 7800000 7839999 0.0134467027535927 closed
chr1 7840000 7879999 0.013656880294013 closed
chr1 7880000 7919999 0.0143343631183832 closed
chr1 7920000 7959999 0.0148105326523626 closed
chr1 7960000 7999999 0.0159279657900258 closed
chr1 8000000 8039999 0.0166872294028798 closed
chr1 8040000 8079999 0.0173387445425192 closed
chr1 8080000 8119999 0.0163877982987661 closed
chr1 8120000 8159999 0.0157424757079454 closed
chr1 8160000 8199999 0.0147191774915326 closed
chr1 8240000 8279999 0.0156599507650228 closed
chr1 8280000 8319999 0.0152605566618015 closed
chr1 8320000 8359999 0.014781414956933 closed
chr1 8360000 8399999 0.0134589131182179 closed
chr1 8400000 8439999 0.0128962012520557 closed
chr1 8440000 8479999 0.0126384870747189 closed
chr1 8480000 8519999 0.0122695294832041 closed
chr1 8520000 8559999 0.012156864506817 closed
chr1 8560000 8599999 0.0125113134418522 closed
chr1 8600000 8639999 0.0125280347677565 closed
chr1 8640000 8679999 0.0125257811546935 closed
chr1 8720000 8759999 0.0115099173298309 closed
chr1 8760000 8799999 0.0106527542899678 closed
chr1 8800000 8839999 0.00937788570123302 closed
chr1 8840000 8879999 0.008490723251929 closed
chr1 8880000 8919999 0.00811135622975741 closed
chr1 8920000 8959999 0.00810147234283429 closed
chr1 8960000 8999999 0.00816798855761987 closed
chr1 9000000 9039999 0.00795250744708857 closed
chr1 9040000 9079999 0.00807597299929678 closed
chr1 9080000 9119999 0.00856414289176694 closed
chr1 9120000 9159999 0.00924047564348126 closed
chr1 9160000 9199999 0.00976046663797586 closed
chr1 9200000 9239999 0.010767931452374 closed
chr1 9240000 9279999 0.0124973114913236 closed
chr1 9280000 9319999 0.0139572411147045 closed
chr1 9320000 9359999 0.0145293678008498 closed
chr1 9360000 9399999 0.013309287083918 closed
chr1 9400000 9439999 0.011674666979905 closed
chr1 9440000 9479999 0.0091354435526203 closed
chr1 9480000 9519999 0.00698424755779308 closed
chr1 9520000 9559999 0.00414994652235772 closed
chr1 9560000 9599999 0.00267080317430684 closed
chr1 9600000 9639999 0.00120269276373119 closed
chr1 9640000 9679999 0.00133890692030608 closed
chr1 9680000 9719999 0.000185810329218197 closed
chr1 9720000 9759999 -0.00046126697587717 open
chr1 9760000 9799999 -0.00169364110490958 open
chr1 9800000 9839999 -0.00110529475353938 open
chr1 9840000 9879999 -0.000267146061717006 open
chr1 9880000 9919999 0.000957853107026725 closed
chr1 9920000 9959999 0.000988653288800253 closed
chr1 9960000 9999999 0.000382448667299151 closed
chr1 10000000 10039999 -0.0010622780889667 open
chr1 10040000 10079999 -0.00242621003071152 open
chr1 10080000 10119999 -0.00306480851469555 open
chr1 10120000 10159999 -0.00255849400344025 open
chr1 10160000 10199999 -0.000586649923549828 open
chr1 10200000 10239999 0.00206329924603856 closed
chr1 10240000 10279999 0.00477749557027632 closed
chr1 10280000 10319999 0.00673856524337769 closed
chr1 10320000 10359999 0.00760885937358455 closed
chr1 10360000 10399999 0.00779275121879052 closed
chr1 10400000 10439999 0.00801681947526298 closed
chr1 10440000 10479999 0.00910202653093963 closed
chr1 10480000 10519999 0.0112292229480217 closed
chr1 10520000 10559999 0.0128479282865691 closed
chr1 10560000 10599999 0.0134923719397026 closed
chr1 10600000 10639999 0.0132223306421932 closed
chr1 10640000 10679999 0.0122609462537587 closed
chr1 10680000 10719999 0.0110373844800776 closed
chr1 10720000 10759999 0.00902487934313394 closed
chr1 10760000 10799999 0.00748971764111468 closed
chr1 10800000 10839999 0.00610308913408108 closed
chr1 10840000 10879999 0.00497851389106615 closed
chr1 10880000 10919999 0.00350496124558581 closed
chr1 10920000 10959999 0.0016659325252816 closed
chr1 10960000 10999999 -3.22177764595617e-05 open
chr1 11000000 11039999 -0.000488803638675508 open
chr1 11040000 11079999 0.000229017732642132 closed
chr1 11080000 11119999 0.00162373453909815 closed
chr1 11120000 11159999 0.00283803046293352 closed
chr1 11160000 11199999 0.00423035175660711 closed
chr1 11200000 11239999 0.00615403198101958 closed
chr1 11240000 11279999 0.00797648560829039 closed
chr1 11280000 11319999 0.00957564804539478 closed
chr1 11320000 11359999 0.0104430625900329 closed
chr1 11360000 11399999 0.0106219202874359 closed
chr1 11400000 11439999 0.0103843414898192 closed
chr1 11440000 11479999 0.00927254584285569 closed
chr1 11480000 11519999 0.00865104882287206 closed
chr1 11520000 11559999 0.00803595177730562 closed
